Feature ID	Wild-type - WT3_S9 (GE) - Expression values	Wild-type - WT3_S9 (GE) - Unique gene reads	Wild-type - WT3_S9 (GE) - Total gene reads
SAOUHSC_02688	9	9	9
SAOUHSC_00636	69316	69316	69316
SAOUHSC_02622	15392	15392	15392
SAOUHSC_02722	622	622	622
SAOUHSC_02865	142	142	142
SAOUHSC_02589	10698	10698	10698
SAOUHSC_00682	3298	3298	3298
SAOUHSC_00299	896	896	896
SAOUHSC_00279	2215	2215	2215
SAOUHSC_01896	2433	2433	2433
SAOUHSC_01898	354	354	354
SAOUHSC_02528	2040	2040	2040
SAOUHSC_02973	1713	1713	1713
SAOUHSC_02570	395	395	395
SAOUHSC_02868	379	379	379
SAOUHSC_02258	1695	1695	1695
SAOUHSC_01799	28124	28124	28124
SAOUHSC_00540	748	748	748
SAOUHSC_01635	1637	1637	1637
SAOUHSC_00669	10584	10584	10584
SAOUHSC_02806	14162	14162	14162
SAOUHSC_01919	67769	67769	67769
SAOUHSC_00274	888	866	888
SAOUHSC_00744	63	63	63
SAOUHSC_01945	852	852	852
SAOUHSC_00965	3180	3180	3180
SAOUHSC_02609	158	158	158
SAOUHSC_00313	89131	89131	89131
SAOUHSC_01011	738	738	738
SAOUHSC_02666	5310	5310	5310
SAOUHSC_00800	3686	3686	3686
SAOUHSC_01304	1087	1087	1087
SAOUHSC_00843	753	753	753
SAOUHSC_02465	9001	9001	9001
SAOUHSC_01014	5070	5070	5070
recX	6421	6421	6421
SAOUHSC_00089	142	141	142
SAOUHSC_01931	1304	1304	1304
SAOUHSC_01085	1016	1016	1016
SAOUHSC_01356	4962	4962	4962
SAOUHSC_00421	775	775	775
SAOUHSC_01954	170	170	170
SAOUHSC_01879	35191	35191	35191
SAOUHSC_00862	4396	4396	4396
SAOUHSC_01112	567	567	567
SAOUHSC_02651	3980	3980	3980
SAOUHSC_01604	6842	6772	6842
SAOUHSC_00134	1146	1146	1146
SAOUHSC_01729	12576	12576	12576
SAOUHSC_00130	1434	1434	1434
SAOUHSC_02462	17	17	17
SAOUHSC_03018	394	394	394
SAOUHSC_00269	16400	14288	16400
SAOUHSC_02145	576	576	576
SAOUHSC_02794	1281	1281	1281
SAOUHSC_02811	13595	13595	13595
SAOUHSC_1342a	7638	7638	7638
SAOUHSC_00262	7561	7561	7561
SAOUHSC_00977	860	860	860
SAOUHSC_03004	216	216	216
SAOUHSC_02988	1732	1732	1732
SAOUHSC_00347	1557	1557	1557
SAOUHSC_00838	10121	10121	10121
SAOUHSC_02335	9761	9761	9761
SAOUHSC_02608	2835	2835	2835
SAOUHSC_02475	746	746	746
SAOUHSC_01395	887	887	887
SAOUHSC_02624	6749	6749	6749
SAOUHSC_00389	104	103	104
SAOUHSC_00395	666	666	666
SAOUHSC_01137	7486	7486	7486
SAOUHSC_01922	1872	1872	1872
SAOUHSC_00199	24486	24486	24486
SAOUHSC_00700	2206	2206	2206
SAOUHSC_01124	112	112	112
SAOUHSC_02272	601	601	601
SAOUHSC_02631	4787	4787	4787
SAOUHSC_01155	3413	3413	3413
SAOUHSC_01015	4133	4133	4133
SAOUHSC_01173	1888	1888	1888
SAOUHSC_00634	120677	120677	120677
SAOUHSC_00748	3611	3611	3611
SAOUHSC_01016	2258	2258	2258
SAOUHSC_02971	616	616	616
SAOUHSC_00637	103842	103842	103842
SAOUHSC_00078	863	863	863
SAOUHSC_01999	10571	10571	10571
SAOUHSC_00131	628	628	628
SAOUHSC_02620	1877	1877	1877
SAOUHSC_01009	3682	3682	3682
SAOUHSC_02641	277	277	277
SAOUHSC_02777	3526	3526	3526
SAOUHSC_00175	4958	4958	4958
SAOUHSC_02585	9917	9917	9917
SAOUHSC_02409	96725	96725	96725
SAOUHSC_01023	55	55	55
SAOUHSC_02549	12932	12932	12932
SAOUHSC_02519	11057	11057	11057
SAOUHSC_01073	2875	2875	2875
SAOUHSC_01800	17965	17965	17965
SAOUHSC_00312	21941	21941	21941
SAOUHSC_00922	364	364	364
SAOUHSC_00497	3890	3890	3890
SAOUHSC_01942	50	50	50
SAOUHSC_00828	2322	2322	2322
SAOUHSC_02670	9359	9359	9359
SAOUHSC_02737	10123	10123	10123
SAOUHSC_01952	734	734	734
SAOUHSC_02575	3896	3896	3896
SAOUHSC_00351	347	347	347
SAOUHSC_00774	3355	3355	3355
SAOUHSC_00697	534	534	534
SAOUHSC_00290	13073	13073	13073
SAOUHSC_00548	9392	9392	9392
SAOUHSC_01921	1113	1113	1113
SAOUHSC_02524	3930	3930	3930
SAOUHSC_00662	1658	1658	1658
SAOUHSC_00053	220	220	220
SAOUHSC_01067	7370	7370	7370
SAOUHSC_00311	17039	17039	17039
SAOUHSC_00673	3239	3239	3239
SAOUHSC_00088	114	114	114
SAOUHSC_02529	6855	6855	6855
SAOUHSC_02744	6304	6304	6304
SAOUHSC_00162	32197	32197	32197
trpC	142	142	142
SAOUHSC_00229	1096	1096	1096
SAOUHSC_02650	24376	24376	24376
SAOUHSC_02450	924	924	924
SAOUHSC_00050	1831	1831	1831
SAOUHSC_02605	1700	1700	1700
SAOUHSC_00264	527	527	527
SAOUHSC_00619	27499	27499	27499
SAOUHSC_00182	255	255	255
SAOUHSC_01387	310	310	310
SAOUHSC_02756	1226	1226	1226
SAOUHSC_01396	967	967	967
SAOUHSC_01655	1461	1461	1461
