Feature ID	Single mutant - SM3_S6 (GE) - Expression values	Single mutant - SM3_S6 (GE) - Unique gene reads	Single mutant - SM3_S6 (GE) - Total gene reads
SAOUHSC_02465	6118	6118	6118
SAOUHSC_01014	4609	4609	4609
recX	4276	4276	4276
SAOUHSC_00089	101	101	101
SAOUHSC_01931	693	693	693
SAOUHSC_01085	653	653	653
SAOUHSC_01356	3243	3243	3243
SAOUHSC_00421	706	706	706
SAOUHSC_01954	98	98	98
SAOUHSC_01879	32935	32935	32935
SAOUHSC_00862	2878	2878	2878
SAOUHSC_01112	307	307	307
SAOUHSC_02651	2844	2844	2844
SAOUHSC_01604	6457	6392	6457
SAOUHSC_00134	964	964	964
SAOUHSC_01729	6309	6309	6309
SAOUHSC_00130	910	910	910
SAOUHSC_02462	7	7	7
SAOUHSC_03018	237	237	237
SAOUHSC_00269	11073	8812	11073
SAOUHSC_02145	537	537	537
SAOUHSC_02794	1050	1050	1050
SAOUHSC_02811	10089	10089	10089
SAOUHSC_1342a	6702	6702	6702
SAOUHSC_00262	6788	6788	6788
SAOUHSC_00977	535	535	535
SAOUHSC_03004	111	111	111
SAOUHSC_02988	1593	1593	1593
SAOUHSC_00347	323	323	323
SAOUHSC_00838	11649	11649	11649
SAOUHSC_02335	6917	6917	6917
SAOUHSC_02608	3001	3001	3001
SAOUHSC_02475	503	503	503
SAOUHSC_01395	665	665	665
SAOUHSC_02624	4569	4569	4569
SAOUHSC_00389	66	65	66
SAOUHSC_00395	381	381	381
SAOUHSC_01137	5712	5712	5712
SAOUHSC_01922	1270	1270	1270
SAOUHSC_00199	19970	19970	19970
SAOUHSC_00700	1660	1660	1660
SAOUHSC_01124	81	81	81
SAOUHSC_02272	452	452	452
SAOUHSC_02631	2904	2904	2904
SAOUHSC_01155	1877	1877	1877
SAOUHSC_01015	3689	3689	3689
SAOUHSC_01173	1455	1455	1455
SAOUHSC_00634	89875	89875	89875
SAOUHSC_00748	1992	1992	1992
SAOUHSC_01016	2119	2119	2119
SAOUHSC_02971	752	752	752
SAOUHSC_00637	77676	77676	77676
SAOUHSC_00078	488	488	488
SAOUHSC_01999	8158	8158	8158
SAOUHSC_00131	370	370	370
SAOUHSC_02620	1904	1904	1904
SAOUHSC_01009	2926	2926	2926
SAOUHSC_02641	118	118	118
SAOUHSC_02777	2826	2826	2826
SAOUHSC_00175	3848	3848	3848
SAOUHSC_02585	6792	6792	6792
SAOUHSC_02409	81653	81653	81653
SAOUHSC_01023	45	45	45
SAOUHSC_02549	11150	11150	11150
SAOUHSC_02519	8244	8244	8244
SAOUHSC_01073	1483	1483	1483
SAOUHSC_01800	20847	20847	20847
SAOUHSC_00312	24919	24919	24919
SAOUHSC_00922	306	306	306
SAOUHSC_00497	2581	2581	2581
SAOUHSC_01942	31	31	31
SAOUHSC_00828	1637	1637	1637
SAOUHSC_02670	4933	4933	4933
SAOUHSC_02737	7658	7658	7658
SAOUHSC_01952	650	650	650
SAOUHSC_02575	3385	3385	3385
SAOUHSC_00351	225	225	225
SAOUHSC_00774	2886	2886	2886
SAOUHSC_00697	270	270	270
SAOUHSC_00290	12505	12505	12505
SAOUHSC_00548	7170	7170	7170
SAOUHSC_01921	697	697	697
SAOUHSC_02524	2554	2554	2554
SAOUHSC_00662	897	897	897
SAOUHSC_00053	217	217	217
SAOUHSC_01067	5927	5927	5927
SAOUHSC_00311	19688	19688	19688
SAOUHSC_00673	1326	1326	1326
SAOUHSC_00088	66	66	66
SAOUHSC_02529	5288	5288	5288
SAOUHSC_02744	6908	6908	6908
SAOUHSC_00162	26899	26899	26899
trpC	115	115	115
SAOUHSC_00229	1357	1357	1357
SAOUHSC_02650	19602	19602	19602
SAOUHSC_02450	535	535	535
SAOUHSC_00050	1319	1319	1319
SAOUHSC_02605	1547	1547	1547
SAOUHSC_00264	426	426	426
SAOUHSC_00619	24896	24896	24896
SAOUHSC_00182	93	93	93
SAOUHSC_01387	225	225	225
SAOUHSC_02756	833	833	833
SAOUHSC_01396	750	750	750
SAOUHSC_01655	897	897	897
SAOUHSC_01847	4567	4567	4567
SAOUHSC_00874	2086	2086	2086
SAOUHSC_00280	4723	4723	4723
SAOUHSC_00197	14182	14182	14182
SAOUHSC_00363	1369	1369	1369
SAOUHSC_02696	1013	1013	1013
SAOUHSC_00195	17181	17181	17181
SAOUHSC_01336	4155	4155	4155
SAOUHSC_00105	225	225	225
SAOUHSC_02599	1362	1362	1362
SAOUHSC_01798	852	852	852
SAOUHSC_03016	1303	1303	1303
SAOUHSC_00079	773	773	773
SAOUHSC_00949	1805	1805	1805
SAOUHSC_00049	7016	7016	7016
SAOUHSC_00325	131	131	131
SAOUHSC_00173	1487	1487	1487
SAOUHSC_02731	8342	8342	8342
SAOUHSC_00376	133	133	133
SAOUHSC_01403	129583	129583	129583
SAOUHSC_00104	163	163	163
SAOUHSC_02937	4939	4939	4939
SAOUHSC_02773	24035	24035	24035
SAOUHSC_00198	19956	19956	19956
SAOUHSC_02390	17675	17675	17675
SAOUHSC_00335	1006	1006	1006
SAOUHSC_02923	888	888	888
SAOUHSC_01617	4418	4418	4418
SAOUHSC_02810	16784	16784	16784
SAOUHSC_01180	5291	5291	5291
gpmA	22145	22145	22145
SAOUHSC_01707	10876	10876	10876
SAOUHSC_02476	609	609	609
SAOUHSC_01301	3	3	3
SAOUHSC_01397	872	872	872
SAOUHSC_01317	12125	12125	12125
ulaA	65644	65644	65644
SAOUHSC_00196	27027	27027	27027
SAOUHSC_00133	1780	1780	1780
SAOUHSC_00515	1677	1677	1677
SAOUHSC_01948	1789	1789	1789
SAOUHSC_00328	646	646	646
SAOUHSC_01303	1431	1431	1431
SAOUHSC_03022	5624	5624	5624
SAOUHSC_00383	934	934	934
SAOUHSC_01082	1094	1094	1094
SAOUHSC_00324	2209	2209	2209
SAOUHSC_02882	1348	1348	1348
SAOUHSC_00394	102	102	102
SAOUHSC_00329	423	423	423
SAOUHSC_00620	4971	4971	4971
SAOUHSC_00008	20356	20356	20356
SAOUHSC_01268	688	688	688
SAOUHSC_00041	1005	1005	1005
SAOUHSC_02837	219	219	219
SAOUHSC_00384	115	115	115
SAOUHSC_00080	1066	1064	1066
SAOUHSC_02001	12577	12577	12577
SAOUHSC_00961	53	53	53
SAOUHSC_01489	91	90	91
SAOUHSC_00136	32	32	32
SAOUHSC_01134	463	463	463
SAOUHSC_00220	4907	4907	4907
SAOUHSC_01650	2824	2824	2824
SAOUHSC_01849	8820	8820	8820
SAOUHSC_02151	1393	1393	1393
SAOUHSC_03048	140	140	140
SAOUHSC_02430	28880	28880	28880
SAOUHSC_00941	7750	7750	7750
SAOUHSC_01710	3177	3177	3177
SAOUHSC_00065	2340	2340	2340
SAOUHSC_02569	89	89	89
SAOUHSC_00948	17961	17961	17961
SAOUHSC_02905	401	401	401
SAOUHSC_03026	1111	1111	1111
