Feature ID	Wild-type - WT1_S7 (GE) - Expression values	Wild-type - WT1_S7 (GE) - Unique gene reads	Wild-type - WT1_S7 (GE) - Total gene reads
SAOUHSC_01656	3144	3144	3144
SAOUHSC_00760	7017	7017	7017
SAOUHSC_00765	506	506	506
SAOUHSC_02669	6818	6818	6818
SAOUHSC_01991	505	505	505
SAOUHSC_02776	662	662	662
SAOUHSC_00179	8160	8160	8160
SAOUHSC_01479	2163	2163	2163
nusB	9002	9002	9002
ksgA	11111	11111	11111
SAOUHSC_00501	54382	54382	54382
SAOUHSC_01990	725	725	725
SAOUHSC_01947	1034	1034	1034
SAOUHSC_02891	1723	1723	1723
SAOUHSC_02961	7012	7012	7012
SAOUHSC_00821	4828	4828	4828
SAOUHSC_02424	3829	3829	3829
SAOUHSC_02713	485	485	485
SAOUHSC_02663	5652	5652	5652
SAOUHSC_00441	2578	2578	2578
SAOUHSC_02779	11012	11012	11012
SAOUHSC_02284	239	239	239
SAOUHSC_02698	21278	21269	21278
SAOUHSC_00358	98110	98110	98110
SAOUHSC_01096	3998	3998	3998
SAOUHSC_00868	207	207	207
SAOUHSC_00161	489	489	489
SAOUHSC_02615	2058	2058	2058
SAOUHSC_02687	3999	3999	3999
SAOUHSC_00582	516	516	516
SAOUHSC_00979	8477	8477	8477
nrdF	46396	46396	46396
SAOUHSC_02816	6489	6489	6489
SAOUHSC_02879	8938	8938	8938
SAOUHSC_00092	1177	1177	1177
SAOUHSC_02597	12379	12379	12379
SAOUHSC_00928	102	102	102
SAOUHSC_00567	4912	4912	4912
SAOUHSC_01609	15595	15590	15595
SAOUHSC_01597	12562	12562	12562
SAOUHSC_01818	362636	362636	362636
SAOUHSC_00027	2353	912	2353
SAOUHSC_00602	510	510	510
SAOUHSC_02632	5270	5270	5270
spxA	117686	117686	117686
SAOUHSC_00381a	50	50	50
SAOUHSC_00402	1091	1091	1091
SAOUHSC_02774	7208	7208	7208
SAOUHSC_00192	1823	1823	1823
SAOUHSC_02628	4319	4319	4319
SAOUHSC_00386	111	111	111
SAOUHSC_01998	17131	17131	17131
SAOUHSC_01712	7417	7417	7417
SAOUHSC_01823	1391	1391	1391
SAOUHSC_02522	1874	1874	1874
SAOUHSC_01606	18889	18889	18889
SAOUHSC_01928	384	384	384
SAOUHSC_01711	9918	9918	9918
SAOUHSC_02845	6231	6231	6231
SAOUHSC_00124	794	794	794
SAOUHSC_01380	795	795	795
SAOUHSC_00247	2431	2431	2431
SAOUHSC_02662	339	339	339
SAOUHSC_01314	1930	1930	1930
SAOUHSC_00732	30611	30611	30611
SAOUHSC_02125	9858	9858	9858
SAOUHSC_02962	4438	4438	4438
SAOUHSC_01837	10104	10104	10104
SAOUHSC_02815	188511	188511	188511
SAOUHSC_00898	1660	1660	1660
SAOUHSC_00684	292	292	292
SAOUHSC_02445	8497	8497	8497
SAOUHSC_02647	86863	86863	86863
SAOUHSC_00213	442	442	442
SAOUHSC_01332	6046	6046	6046
SAOUHSC_01864	7901	7901	7901
SAOUHSC_02373	4221	4221	4221
SAOUHSC_01845	745143	745143	745143
SAOUHSC_00429	3209	3209	3209
SAOUHSC_02249	929	929	929
SAOUHSC_00642	16590	16590	16590
SAOUHSC_00614	5765	5765	5765
SAOUHSC_00784	11019	11019	11019
SAOUHSC_02301	43437	43437	43437
SAOUHSC_02554	23472	23472	23472
SAOUHSC_01840	2577	2577	2577
trpD	504	504	504
SAOUHSC_01758	3097	3097	3097
SAOUHSC_02791	2134	2134	2134
SAOUHSC_02656	2510	2510	2510
SAOUHSC_02690	7502	7502	7502
SAOUHSC_00755	4114	4114	4114
SAOUHSC_00285	17488	17488	17488
SAOUHSC_01219	671	671	671
SAOUHSC_R0006	29698	691	29698
lspA	1097	1097	1097
SAOUHSC_02929	60120	60120	60120
SAOUHSC_00284	7815	7815	7815
SAOUHSC_00726	2661	2661	2661
SAOUHSC_00703	6575	6575	6575
SAOUHSC_02751	7653	7653	7653
SAOUHSC_00960	12707	12707	12707
SAOUHSC_00150	339	339	339
SAOUHSC_02742	3986	3986	3986
SAOUHSC_02149	4902	4902	4902
SAOUHSC_00107	2058	2058	2058
SAOUHSC_00615	9275	9275	9275
SAOUHSC_02594	8415	8415	8415
SAOUHSC_02636	3351	3351	3351
SAOUHSC_02655	2	2	2
SAOUHSC_01591	8723	8723	8723
SAOUHSC_00816	1163	1163	1163
SAOUHSC_02627	27150	27150	27150
SAOUHSC_02958	353	353	353
SAOUHSC_01405	4310	4310	4310
SAOUHSC_02818	768	768	768
SAOUHSC_01783	632	632	632
SAOUHSC_02146	5918	5918	5918
SAOUHSC_A02189	2641	2641	2641
SAOUHSC_00405	8467	8467	8467
aroB	4462	4462	4462
SAOUHSC_00093	7283	7283	7283
SAOUHSC_01228	33801	33801	33801
SAOUHSC_01224	13927	13927	13927
SAOUHSC_02830	8830	8830	8830
SAOUHSC_02740	7066	7066	7066
SAOUHSC_02653	2483	2483	2483
SAOUHSC_00672	4291	4291	4291
SAOUHSC_00094	14558	14558	14558
SAOUHSC_00056	14143	14143	14143
SAOUHSC_00482	8598	8598	8598
SAOUHSC_00345	2197	2197	2197
SAOUHSC_00404	1559	1559	1559
SAOUHSC_03030	25554	25554	25554
SAOUHSC_02307	6486	6486	6486
SAOUHSC_02590	47729	47729	47729
SAOUHSC_00332	2152	2152	2152
SAOUHSC_00185	3259	3259	3259
SAOUHSC_01386	340	340	340
SAOUHSC_01044	2862	2862	2862
SAOUHSC_02864	2005	2005	2005
SAOUHSC_02677	4435	4435	4435
SAOUHSC_00047	495	495	495
SAOUHSC_01698	3925	3925	3925
SAOUHSC_02728	1046	1046	1046
SAOUHSC_00665	5010	5010	5010
SAOUHSC_01773	5116	5116	5116
SAOUHSC_00278	1025	995	1025
SAOUHSC_01103	37384	37384	37384
SAOUHSC_00754	3375	3375	3375
SAOUHSC_00186	2361	2361	2361
SAOUHSC_00382	3273	3273	3273
SAOUHSC_02420	2727	2727	2727
SAOUHSC_00316	608	608	608
SAOUHSC_00767	106219	106219	106219
SAOUHSC_00889	71672	71672	71672
SAOUHSC_00883	9020	9020	9020
SAOUHSC_02714	635	635	635
SAOUHSC_00773	608	608	608
SAOUHSC_02447	44432	44432	44432
SAOUHSC_02009	12452	12452	12452
SAOUHSC_02418	5419	5419	5419
SAOUHSC_01926	874	874	874
SAOUHSC_02351	39975	39975	39975
panB	15093	15093	15093
SAOUHSC_02936	2192	2192	2192
SAOUHSC_01081	6492	6492	6492
SAOUHSC_01719	26354	26354	26354
rnc	4771	4771	4771
SAOUHSC_02827	3196	3196	3196
SAOUHSC_00562	38016	38016	38016
SAOUHSC_02995	2504	2504	2504
SAOUHSC_02610	22834	22834	22834
SAOUHSC_00606	22183	22183	22183
SAOUHSC_01260	10659	10659	10659
SAOUHSC_02010	4275	4275	4275
SAOUHSC_01419	9519	9519	9519
SAOUHSC_00096	5202	5202	5202
SAOUHSC_00287	14427	14427	14427
SAOUHSC_02303	34399	34398	34399
SAOUHSC_02404	3861	3861	3861
SAOUHSC_02550	12699	12699	12699
SAOUHSC_01318	8159	8159	8159
SAOUHSC_02972	14981	14981	14981
SAOUHSC_01638	98	97	98
SAOUHSC_00939	14771	14771	14771
SAOUHSC_02750	3564	3564	3564
SAOUHSC_02402	45395	45395	45395
SAOUHSC_01459	2300	2300	2300
SAOUHSC_01747	22930	22930	22930
SAOUHSC_02649	13850	13850	13850
SAOUHSC_00863	2830	2830	2830
SAOUHSC_00616	15200	15200	15200
SAOUHSC_02444	46036	46036	46036
SAOUHSC_02545	10442	10442	10442
SAOUHSC_00881	5950	5950	5950
SAOUHSC_01066	23482	23482	23482
SAOUHSC_01721	23452	23452	23452
SAOUHSC_01439	2892	2892	2892
SAOUHSC_02383	22542	22542	22542
SAOUHSC_00547	7270	7270	7270
SAOUHSC_01138	29390	29390	29390
SAOUHSC_02148	4332	4332	4332
SAOUHSC_01593	4877	4877	4877
SAOUHSC_00452	26589	26589	26589
SAOUHSC_00596	368	368	368
SAOUHSC_02689	1601	1601	1601
SAOUHSC_02916	7095	7095	7095
SAOUHSC_00733	1097	1097	1097
SAOUHSC_01590	1390	1390	1390
hisZ	81	81	81
SAOUHSC_01929	45	45	45
SAOUHSC_01615	30091	30091	30091
SAOUHSC_00995	1646	1646	1646
SAOUHSC_00477	38361	38361	38361
SAOUHSC_02974	2436	2436	2436
SAOUHSC_00420	1180	1180	1180
SAOUHSC_02718	998	998	998
SAOUHSC_00532	195956	195956	195956
SAOUHSC_00603	20382	20382	20382
SAOUHSC_00168	218	218	218
SAOUHSC_00248	10232	10232	10232
SAOUHSC_00067	43795	43795	43795
mraY	18794	18794	18794
SAOUHSC_02676	6935	6935	6935
SAOUHSC_01495	412	412	412
SAOUHSC_00330	3547	3547	3547
argC	658	658	658
SAOUHSC_00759	4523	4523	4523
SAOUHSC_02715	182	182	182
SAOUHSC_02665	15635	15635	15635
SAOUHSC_01985	7039	7039	7039
SAOUHSC_01987	55515	55515	55515
SAOUHSC_02909	21312	21312	21312
SAOUHSC_02812	4462	4462	4462
SAOUHSC_00465	24055	24055	24055
SAOUHSC_03035	1238	1238	1238
SAOUHSC_00818	422	422	422
SAOUHSC_00463	6635	6635	6635
SAOUHSC_02563	2586	2586	2586
SAOUHSC_02281	267	267	267
SAOUHSC_02781	1055	1055	1055
SAOUHSC_00051	292	292	292
SAOUHSC_00664	7375	7375	7375
SAOUHSC_00480	24468	24468	24468
SAOUHSC_01468	1376	1376	1376
SAOUHSC_02090	8057	8057	8057
trmB	10674	10674	10674
SAOUHSC_00971	579	579	579
SAOUHSC_01951	230	230	230
SAOUHSC_01641	68	68	68
ureA	925	925	925
SAOUHSC_00832	3069	3069	3069
SAOUHSC_01666	149920	149920	149920
SAOUHSC_01977	118868	118868	118868
SAOUHSC_02541	3707	3707	3707
SAOUHSC_00169	170	170	170
SAOUHSC_01364	12647	12647	12647
SAOUHSC_02473	1036	1036	1036
SAOUHSC_01360	7959	7959	7959
SAOUHSC_01115	1263	1263	1263
SAOUHSC_02930	3041	3041	3041
SAOUHSC_02853	153041	153041	153041
SAOUHSC_01026	7985	7985	7985
SAOUHSC_00668	6301	6301	6301
hisB	117	117	117
SAOUHSC_00298	4261	4261	4261
SAOUHSC_00531	10529	10529	10529
SAOUHSC_02644	5882	5882	5882
SAOUHSC_03019	972	972	972
SAOUHSC_00699	13551	13551	13551
SAOUHSC_00391	243	243	243
SAOUHSC_01665	4478	4478	4478
SAOUHSC_01824	3524	3524	3524
SAOUHSC_00374	46863	46863	46863
SAOUHSC_00037	6417	6417	6417
SAOUHSC_01312	194	194	194
SAOUHSC_00200	2147	2147	2147
SAOUHSC_00064	645	645	645
SAOUHSC_00430	5244	5244	5244
SAOUHSC_00334	6203	6203	6203
SAOUHSC_00315	601	601	601
SAOUHSC_02002	220	220	220
SAOUHSC_02463	1446	1446	1446
SAOUHSC_00833	11058	11058	11058
SAOUHSC_00764	11188	11188	11188
SAOUHSC_02110	3944	3944	3944
SAOUHSC_02474	5045	5045	5045
SAOUHSC_01470	5775	5775	5775
rnpA	846	846	846
SAOUHSC_02133	16501	16501	16501
SAOUHSC_01061	13068	13068	13068
murG	14147	14147	14147
SAOUHSC_02322	1563	1563	1563
SAOUHSC_00836	234364	234364	234364
SAOUHSC_00933	29228	29228	29228
SAOUHSC_00613	7033	7033	7033
SAOUHSC_02092	74204	74204	74204
SAOUHSC_02623	20017	20017	20017
SAOUHSC_01974	76622	76622	76622
SAOUHSC_00663	26101	26101	26101
SAOUHSC_00055	570	550	570
SAOUHSC_00831	5693	5693	5693
SAOUHSC_02659	6712	6712	6712
SAOUHSC_02652	19928	19928	19928
rpsT	23375	23375	23375
SAOUHSC_02131	8062	8055	8062
SAOUHSC_02613	8752	8752	8752
SAOUHSC_02161	971	971	971
SAOUHSC_00950	2107	2107	2107
cmk	15524	15524	15524
SAOUHSC_02935	3933	3933	3933
SAOUHSC_01819	39402	39402	39402
SAOUHSC_00406	18593	18593	18593
SAOUHSC_01832	1528	1528	1528
SAOUHSC_01282	17034	17034	17034
SAOUHSC_01643	614	614	614
SAOUHSC_01206	2021	2021	2021
SAOUHSC_00891	73374	73374	73374
SAOUHSC_02401	117010	117010	117010
SAOUHSC_02685	84	84	84
SAOUHSC_02833	381	381	381
SAOUHSC_00296	4002	4002	4002
SAOUHSC_02897	872	872	872
SAOUHSC_01174	11506	11506	11506
SAOUHSC_01649	11146	11146	11146
SAOUHSC_01981	6104	6104	6104
SAOUHSC_01964	39292	39292	39292
SAOUHSC_00787	14973	14973	14973
SAOUHSC_01048	676	676	676
SAOUHSC_02793	28354	28354	28354
SAOUHSC_00156	22231	22231	22231
SAOUHSC_01661	2620	2620	2620
SAOUHSC_01019	1273	1273	1273
SAOUHSC_00407	6836	6836	6836
SAOUHSC_00648	43551	43551	43551
SAOUHSC_02747	7107	7107	7107
SAOUHSC_00305	1938	1938	1938
SAOUHSC_01831	7531	7531	7531
SAOUHSC_02867	2238	2238	2238
SAOUHSC_02531	482	482	482
SAOUHSC_02797	609	609	609
miaA	5865	5865	5865
SAOUHSC_00499	352059	352059	352059
SAOUHSC_01040	568790	568790	568790
SAOUHSC_02443	133043	133043	133043
SAOUHSC_00820	5735	5735	5735
SAOUHSC_01914	7228	7228	7228
SAOUHSC_02711	81	81	81
SAOUHSC_01358	29691	29691	29691
SAOUHSC_02135	5937	5937	5937
SAOUHSC_02994	8452	8452	8452
SAOUHSC_00584	11335	11335	11335
SAOUHSC_02096	29044	29044	29044
SAOUHSC_01326	11060	11060	11060
panC	15053	15053	15053
SAOUHSC_00629	482	482	482
SAOUHSC_00932	502	502	502
SAOUHSC_00426	488	488	488
SAOUHSC_02963	69223	68046	69223
rbfA	9814	9814	9814
SAOUHSC_01086	452	445	452
SAOUHSC_01379	749	749	749
SAOUHSC_01108	7818	7818	7818
engB	2828	2828	2828
SAOUHSC_00103	200	200	200
SAOUHSC_00644	14522	14522	14522
SAOUHSC_02996	854	854	854
SAOUHSC_02150	42685	42685	42685
SAOUHSC_00424	132	132	132
SAOUHSC_02902	741	741	741
SAOUHSC_01225	15338	15338	15338
SAOUHSC_00875	63131	63131	63131
SAOUHSC_02987	1341	1341	1341
SAOUHSC_01978	2973	2973	2973
SAOUHSC_02103	2914	2914	2914
SAOUHSC_02871	9055	9055	9055
SAOUHSC_00919	15409	15409	15409
SAOUHSC_02091	41009	41009	41009
SAOUHSC_02970	162	162	162
SAOUHSC_01455	52888	52888	52888
SAOUHSC_00138	147	147	147
SAOUHSC_01911	621	493	621
SAOUHSC_02825	368	368	368
SAOUHSC_00237	950	950	950
SAOUHSC_01371	408	408	408
SAOUHSC_02993	561	561	561
SAOUHSC_00475	7155	7155	7155
SAOUHSC_00638	8830	8830	8830
SAOUHSC_02980	13102	13102	13102
SAOUHSC_02661	1761	1761	1761
SAOUHSC_03012	196	196	196
SAOUHSC_00944	8436	8436	8436
SAOUHSC_02908	4917	4917	4917
SAOUHSC_03020	104	104	104
SAOUHSC_02915	3142	3142	3142
rpsQ	26073	26073	26073
SAOUHSC_00242	3961	3961	3961
SAOUHSC_03013	215	215	215
SAOUHSC_02370	12733	12733	12733
SAOUHSC_00565	8949	8949	8949
SAOUHSC_R00011	7	6	7
SAOUHSC_02675	4223	4223	4223
SAOUHSC_02551	2942	2942	2942
SAOUHSC_00904	26856	26856	26856
SAOUHSC_01966	13839	13839	13839
SAOUHSC_02834	12623	12623	12623
SAOUHSC_00617	37693	37693	37693
SAOUHSC_00342	4168	4168	4168
SAOUHSC_00564	8929	8929	8929
SAOUHSC_01384	427	427	427
SAOUHSC_00963	21799	21799	21799
SAOUHSC_02595	1236	1236	1236
SAOUHSC_00766	211	211	211
SAOUHSC_01283	5626	5626	5626
SAOUHSC_02143	22009	22009	22009
SAOUHSC_00893	21458	21458	21458
SAOUHSC_00708	31179	31179	31179
SAOUHSC_02921	4152	4152	4152
SAOUHSC_02697	30259	30259	30259
SAOUHSC_01882	22900	22900	22900
SAOUHSC_02375	25934	25934	25934
SAOUHSC_01433	32535	32535	32535
SAOUHSC_00716	4554	4553	4554
SAOUHSC_02428	4759	4759	4759
SAOUHSC_02997	672	672	672
SAOUHSC_00327	453	453	453
SAOUHSC_01594	32421	32421	32421
SAOUHSC_02901	646	646	646
SAOUHSC_00959	17041	17041	17041
SAOUHSC_02386	3880	3880	3880
SAOUHSC_02391	9801	9801	9801
SAOUHSC_00137	251	251	251
SAOUHSC_02881	19763	19763	19763
SAOUHSC_01782	17875	17875	17875
SAOUHSC_02158	54387	54387	54387
SAOUHSC_02596	786	786	786
SAOUHSC_01483	7781	7781	7781
SAOUHSC_00714	33214	33214	33214
SAOUHSC_00739	2136	2136	2136
SAOUHSC_01065	8783	8783	8783
SAOUHSC_00456	3853	3853	3853
SAOUHSC_00333	3736	3736	3736
SAOUHSC_02371	13793	13793	13793
SAOUHSC_00873	37497	37497	37497
SAOUHSC_01002	290845	290845	290845
SAOUHSC_01821	20794	20794	20794
moaC	9270	9270	9270
SAOUHSC_00500	204913	204913	204913
SAOUHSC_01039	22358	22358	22358
SAOUHSC_01677	44798	44798	44798
SAOUHSC_00776	10011	10011	10011
SAOUHSC_02427	3223	3223	3223
SAOUHSC_02300	23906	23906	23906
SAOUHSC_02111	3496	3496	3496
SAOUHSC_01746	68373	68373	68373
SAOUHSC_02693	317	317	317
SAOUHSC_00295	7735	7735	7735
SAOUHSC_00886	45774	45774	45774
SAOUHSC_01734	24395	24395	24395
SAOUHSC_00216	525	525	525
SAOUHSC_02969	147	147	147
SAOUHSC_00318	2801	2801	2801
SAOUHSC_01069	11518	11518	11518
SAOUHSC_00666	6994	6994	6994
rpsA	217409	217409	217409
SAOUHSC_01054	26638	26638	26638
SAOUHSC_01589	7037	7037	7037
SAOUHSC_01365	25455	25455	25455
SAOUHSC_02434	5969	5969	5969
gcvT	154123	154123	154123
sucC	643908	643908	643908
SAOUHSC_02101	1017	1017	1017
SAOUHSC_01127	110	110	110
SAOUHSC_02565	3504	3504	3504
SAOUHSC_00533	59539	59539	59539
SAOUHSC_02577	73897	73897	73897
rpsN_1	902	902	902
SAOUHSC_01463	57022	57022	57022
SAOUHSC_00696	14012	14012	14012
SAOUHSC_00731	24859	24859	24859
mobA	8214	8214	8214
SAOUHSC_02692	1707	1707	1707
SAOUHSC_02643	2139	2139	2139
SAOUHSC_A00354	20	20	20
SAOUHSC_03017	228	228	228
SAOUHSC_02859	31048	31048	31048
SAOUHSC_01797	60974	60974	60974
SAOUHSC_00481	6093	6093	6093
SAOUHSC_00113	1436	1436	1436
SAOUHSC_00338	1796	1796	1796
leuD	267	267	267
SAOUHSC_00771	10975	10975	10975
SAOUHSC_00643	11838	11838	11838
SAOUHSC_01375	4235	4235	4235
infA	20058	20058	20058
SAOUHSC_02557	448	448	448
SAOUHSC_A00992	1350	1330	1350
SAOUHSC_02269	13242	13242	13242
SAOUHSC_01694	15063	15063	15063
SAOUHSC_00622	124	124	124
SAOUHSC_00587	1073	1073	1073
SAOUHSC_02876	5570	5570	5570
SAOUHSC_02260	15796	15796	15796
SAOUHSC_01629	15035	15035	15035
SAOUHSC_02788	1863	1863	1863
SAOUHSC_01480	11237	11237	11237
SAOUHSC_01836	28306	28306	28306
SAOUHSC_02985	10295	10295	10295
SAOUHSC_01825	2621	2621	2621
guaA	63550	63550	63550
SAOUHSC_02134	6874	6874	6874
SAOUHSC_00331	469	469	469
SAOUHSC_01660	9141	9141	9141
SAOUHSC_00489	7061	7061	7061
SAOUHSC_00812	95413	95393	95413
SAOUHSC_00538	11232	11232	11232
SAOUHSC_02006	13869	13869	13869
SAOUHSC_01633	254027	254027	254027
SAOUHSC_01608	1274	1270	1274
SAOUHSC_02433	2725	2725	2725
SAOUHSC_01630	31158	31158	31158
SAOUHSC_00690	46053	46053	46053
SAOUHSC_00013	595	595	595
SAOUHSC_01041	442292	442292	442292
SAOUHSC_00002	33664	33664	33664
SAOUHSC_00190	2515	2515	2515
SAOUHSC_02544	5276	5276	5276
SAOUHSC_00952	18394	18394	18394
SAOUHSC_01980	3989	3989	3989
SAOUHSC_00423	211	211	211
SAOUHSC_00142	368	368	368
SAOUHSC_00906	135484	135484	135484
SAOUHSC_00964	3053	3053	3053
SAOUHSC_02000	22188	22188	22188
SAOUHSC_01348	8549	8549	8549
SAOUHSC_00450	5078	5078	5078
SAOUHSC_01904	240	240	240
SAOUHSC_00884	5242	5242	5242
tmk	4525	4525	4525
SAOUHSC_00337	3542	3542	3542
SAOUHSC_02736	6485	6485	6485
SAOUHSC_00214	82	82	82
SAOUHSC_02382	2006	2006	2006
SAOUHSC_00552	8835	8835	8835
SAOUHSC_00763	7855	7855	7855
ureE	2433	2433	2433
SAOUHSC_01870	15431	15431	15431
SAOUHSC_01001	483573	483573	483573
SAOUHSC_02765	623	623	623
SAOUHSC_02877	18043	18043	18043
SAOUHSC_01267	17572	17572	17572
rpsH	34863	34863	34863
SAOUHSC_00686	23594	23594	23594
SAOUHSC_01653	375513	375513	375513
SAOUHSC_01160	5653	5653	5653
SAOUHSC_00572	4886	4886	4886
SAOUHSC_00219	1279	1279	1279
SAOUHSC_01982	19422	19422	19422
gltD	1297	1297	1297
SAOUHSC_00029	4	4	4
SAOUHSC_01122	5	5	5
SAOUHSC_01833	2253	2253	2253
SAOUHSC_01490	639742	639742	639742
SAOUHSC_02941	523	523	523
coaD	8637	8637	8637
SAOUHSC_01125	103	103	103
SAOUHSC_00344	3545	3545	3545
SAOUHSC_01007	107303	107303	107303
SAOUHSC_02426	1713	1713	1713
SAOUHSC_01752	5468	5468	5468
SAOUHSC_01043	695530	695530	695530
SAOUHSC_00679	16025	16025	16025
SAOUHSC_00720	1916	1916	1916
SAOUHSC_01027	19942	19942	19942
SAOUHSC_00670	48265	48265	48265
SAOUHSC_01792	21181	21181	21181
SAOUHSC_00170	401	401	401
SAOUHSC_00817	309	309	309
acpS	7408	7408	7408
SAOUHSC_02376	41803	41803	41803
SAOUHSC_00758	3633	3633	3633
SAOUHSC_00167	661	661	661
SAOUHSC_00779	14676	14676	14676
hslU	53961	53961	53961
SAOUHSC_01042	650083	650083	650083
SAOUHSC_00756	16322	16322	16322
SAOUHSC_00281	346	346	346
SAOUHSC_00571	2992	2992	2992
SAOUHSC_02372	14759	14759	14759
SAOUHSC_02822	111222	111222	111222
SAOUHSC_01144	58064	58059	58064
murD	38514	38514	38514
SAOUHSC_00369	44837	44837	44837
nadE	15021	15021	15021
SAOUHSC_00317	15499	15499	15499
SAOUHSC_01924	39	39	39
SAOUHSC_01156	14065	14065	14065
SAOUHSC_02967	498	498	498
SAOUHSC_00652	16079	16079	16079
SAOUHSC_01053	3503	3503	3503
SAOUHSC_02716	43	43	43
SAOUHSC_02880	16667	16667	16667
SAOUHSC_02126	45456	45456	45456
SAOUHSC_01602	3468	3468	3468
SAOUHSC_02305	23673	23673	23673
SAOUHSC_02287	575	575	575
secY_1	137313	137313	137313
SAOUHSC_02406	15929	15929	15929
SAOUHSC_00542	15644	15644	15644
SAOUHSC_00444	46117	46117	46117
SAOUHSC_00604	56007	56007	56007
SAOUHSC_02137	28259	28259	28259
SAOUHSC_02321	1324	1324	1324
SAOUHSC_02823	5508	5508	5508
SAOUHSC_02407	22886	22886	22886
SAOUHSC_01787	11296	11296	11296
SAOUHSC_01255	10688	10688	10688
SAOUHSC_01000	162270	162270	162270
SAOUHSC_01871	20275	20275	20275
SAOUHSC_01903	486	486	486
rocD	255735	255735	255735
SAOUHSC_02516	18333	18333	18333
SAOUHSC_00911	792	792	792
SAOUHSC_00645	6610	6610	6610
SAOUHSC_01064	20186	20186	20186
SAOUHSC_01732	17420	17420	17420
SAOUHSC_00895	475380	475380	475380
SAOUHSC_02913	2791	2791	2791
SAOUHSC_01076	6397	6397	6397
SAOUHSC_02334	877	877	877
SAOUHSC_01693	1395	1395	1395
SAOUHSC_01139	2276	2276	2276
SAOUHSC_00184	2558	2558	2558
SAOUHSC_00942	24574	24574	24574
SAOUHSC_01989	10030	10030	10030
SAOUHSC_01034	5460	5460	5460
SAOUHSC_01720	35792	35792	35792
SAOUHSC_00217	697	697	697
SAOUHSC_00892	9032	9032	9032
SAOUHSC_02581	17247	17247	17247
SAOUHSC_00431	3533	3533	3533
SAOUHSC_02875	5481	5481	5481
SAOUHSC_02947	8843	8843	8843
recA	81213	81213	81213
SAOUHSC_00306	4133	4133	4133
SAOUHSC_00969	70	70	70
SAOUHSC_00581	2899	2899	2899
SAOUHSC_00951	88994	88994	88994
SAOUHSC_01488	9627	9588	9627
SAOUHSC_01420	9165	9165	9165
SAOUHSC_01874	4748	4748	4748
SAOUHSC_00909	20009	20009	20009
SAOUHSC_02591	5152	5152	5152
SAOUHSC_01827	112734	112734	112734
SAOUHSC_02927	491728	491728	491728
rpmJ	13675	13675	13675
SAOUHSC_02366	274038	274038	274038
SAOUHSC_T00034	653	653	653
SAOUHSC_01718	2506	2506	2506
SAOUHSC_01872	10957	10957	10957
SAOUHSC_00455	9049	9049	9049
glmU	96134	96134	96134
SAOUHSC_02982	49263	49263	49263
SAOUHSC_01382	211	211	211
SAOUHSC_01820	63494	63494	63494
SAOUHSC_02299	35774	35745	35774
SAOUHSC_01218	643192	643192	643192
SAOUHSC_02442	51846	51846	51846
SAOUHSC_01350	9721	9721	9721
SAOUHSC_01158	39979	39979	39979
SAOUHSC_00999	83424	83424	83424
SAOUHSC_02760	11958	11958	11958
SAOUHSC_00033	626	626	626
SAOUHSC_00573	56092	56092	56092
SAOUHSC_02983	13082	13082	13082
dnaA	34002	34002	34002
SAOUHSC_01204	32353	32353	32353
SAOUHSC_02112	2051	2051	2051
uhpT	2585	2585	2585
SAOUHSC_00502	7264	7264	7264
SAOUHSC_02844	36822	36822	36822
SAOUHSC_01949	1831	1831	1831
SAOUHSC_01625	71025	71025	71025
SAOUHSC_01807	55108	55108	55108
SAOUHSC_00009	48066	48066	48066
SAOUHSC_02527	27298	27298	27298
SAOUHSC_01441	4484	4444	4484
SAOUHSC_02922	32876	32876	32876
rplE	53492	53492	53492
SAOUHSC_01501	137117	137117	137117
SAOUHSC_00554	86649	86649	86649
SAOUHSC_01189	14480	14480	14480
SAOUHSC_00553	79006	79006	79006
SAOUHSC_01988	2946	2946	2946
SAOUHSC_00781	24241	24241	24241
SAOUHSC_01596	4040	4040	4040
SAOUHSC_01254	11922	11922	11922
SAOUHSC_01188	14957	14957	14957
rimM	1525	1525	1525
SAOUHSC_00457	1458	1458	1458
SAOUHSC_02712	505	505	505
SAOUHSC_00472	85128	85128	85128
SAOUHSC_02785	947	947	947
SAOUHSC_02535	782	774	782
SAOUHSC_01251	100611	100611	100611
SAOUHSC_00653	4632	4632	4632
SAOUHSC_01907	19059	19059	19059
SAOUHSC_01860	11044	11044	11044
SAOUHSC_02789	1337	1337	1337
SAOUHSC_02538	2677	2677	2677
SAOUHSC_01869	23282	23282	23282
SAOUHSC_01190	12470	12470	12470
SAOUHSC_02262	11515	11515	11515
SAOUHSC_01605	125171	125171	125171
SAOUHSC_00543	9621	9621	9621
SAOUHSC_01165	11382	11382	11382
SAOUHSC_01338	20506	20506	20506
SAOUHSC_01114	2494	2494	2494
SAOUHSC_00887	12701	12701	12701
SAOUHSC_01333	15696	15696	15696
SAOUHSC_02457	4416	4416	4416
SAOUHSC_00365	123344	123344	123344
SAOUHSC_00715	35709	35707	35709
SAOUHSC_01595	1332	1332	1332
SAOUHSC_01362	12636	12636	12636
SAOUHSC_02456	6170	6170	6170
SAOUHSC_02468	2742	2742	2742
SAOUHSC_02984	13412	13412	13412
SAOUHSC_00713	18857	18857	18857
SAOUHSC_02289	565	565	565
SAOUHSC_01741	10853	10853	10853
SAOUHSC_00488	66997	66997	66997
